time,open,high,low,close,volume,symbol,name
2018-08-20,108.02,108.71,107.48,108.06,30808133,HNXINDEX,HNX-Index
2018-08-21,108.06,110.02,107.92,110.02,36250229,HNXINDEX,HNX-Index
2018-08-22,110.03,110.89,109.67,109.99,37903955,HNXINDEX,HNX-Index
2018-08-23,110.26,110.65,109.53,110.52,32176080,HNXINDEX,HNX-Index
2018-08-24,110.52,111.96,110.0,111.62,45020407,HNXINDEX,HNX-Index
2018-08-27,112.18,112.68,111.59,111.62,50530309,HNXINDEX,HNX-Index
2018-08-28,111.62,112.57,111.62,112.24,43753736,HNXINDEX,HNX-Index
2018-08-29,112.36,112.84,111.54,112.78,37368389,HNXINDEX,HNX-Index
2018-08-30,112.71,113.59,112.4,113.59,36385154,HNXINDEX,HNX-Index
2018-08-31,113.59,113.87,112.5,112.79,37337153,HNXINDEX,HNX-Index
2018-09-04,112.79,113.15,110.79,111.23,43542619,HNXINDEX,HNX-Index
2018-09-05,111.27,111.65,109.78,110.47,42561312,HNXINDEX,HNX-Index
2018-09-06,110.48,112.42,110.22,110.48,36096777,HNXINDEX,HNX-Index
2018-09-07,110.62,111.8,110.34,111.7,40165067,HNXINDEX,HNX-Index
2018-09-10,111.71,111.98,108.39,110.69,39215942,HNXINDEX,HNX-Index
2018-09-11,110.7,111.76,110.51,111.43,41106770,HNXINDEX,HNX-Index
2018-09-12,111.43,112.31,111.43,111.65,49986869,HNXINDEX,HNX-Index
2018-09-13,111.65,113.31,111.62,112.66,55589942,HNXINDEX,HNX-Index
2018-09-14,112.31,113.77,112.31,113.37,40859144,HNXINDEX,HNX-Index
2018-09-17,113.37,113.61,112.51,112.76,43383481,HNXINDEX,HNX-Index
2018-09-18,112.5,113.6,111.93,113.6,51456896,HNXINDEX,HNX-Index
2018-09-19,113.6,115.04,113.58,114.2,62050903,HNXINDEX,HNX-Index
2018-09-20,114.2,115.18,114.03,115.06,46437886,HNXINDEX,HNX-Index
2018-09-21,115.06,115.96,114.31,115.8,69657043,HNXINDEX,HNX-Index
2018-09-24,115.79,116.38,115.34,115.59,48631995,HNXINDEX,HNX-Index
2018-09-25,115.67,116.37,115.23,115.52,59255748,HNXINDEX,HNX-Index
2018-09-26,115.54,116.41,115.23,115.58,54351259,HNXINDEX,HNX-Index
2018-09-27,115.58,116.27,115.34,116.08,58112465,HNXINDEX,HNX-Index
2018-09-28,116.08,117.34,116.07,116.28,56336987,HNXINDEX,HNX-Index
2018-10-01,116.86,116.99,115.36,115.52,56458032,HNXINDEX,HNX-Index
2018-10-02,115.78,115.96,114.7,115.0,58462208,HNXINDEX,HNX-Index
2018-10-03,114.99,115.89,114.73,115.29,39074934,HNXINDEX,HNX-Index
2018-10-04,115.51,116.72,115.14,116.27,42227904,HNXINDEX,HNX-Index
2018-10-05,116.27,116.39,114.56,114.67,58959646,HNXINDEX,HNX-Index
2018-10-08,114.48,114.93,113.68,114.38,50836652,HNXINDEX,HNX-Index
2018-10-09,114.36,115.09,114.11,114.3,41012466,HNXINDEX,HNX-Index
2018-10-10,114.3,114.75,113.24,113.76,40757732,HNXINDEX,HNX-Index
2018-10-11,110.1,113.66,106.92,107.17,99123286,HNXINDEX,HNX-Index
2018-10-12,106.66,109.8,105.45,109.76,58534586,HNXINDEX,HNX-Index
2018-10-15,109.76,110.02,107.65,107.67,32407991,HNXINDEX,HNX-Index
2018-10-16,107.47,108.77,107.44,108.6,31919117,HNXINDEX,HNX-Index
2018-10-17,108.6,110.35,108.6,109.39,39591214,HNXINDEX,HNX-Index
2018-10-18,109.39,109.39,107.83,107.91,36973200,HNXINDEX,HNX-Index
2018-10-19,107.91,109.19,106.24,108.1,36864325,HNXINDEX,HNX-Index
