time,open,high,low,close,volume,symbol,name
2018-08-20,51.47,51.79,51.2,51.38,12776449,UPCOMINDEX,UPCOM-Index
2018-08-21,51.41,51.55,51.24,51.39,11027693,UPCOMINDEX,UPCOM-Index
2018-08-22,51.39,51.63,51.38,51.6,9781807,UPCOMINDEX,UPCOM-Index
2018-08-23,51.69,51.72,51.33,51.42,8726865,UPCOMINDEX,UPCOM-Index
2018-08-24,51.42,51.6,51.24,51.59,9074416,UPCOMINDEX,UPCOM-Index
2018-08-27,51.91,52.09,51.5,51.54,12862496,UPCOMINDEX,UPCOM-Index
2018-08-28,51.55,51.7,51.06,51.28,9861777,UPCOMINDEX,UPCOM-Index
2018-08-29,51.47,51.54,51.19,51.32,12612896,UPCOMINDEX,UPCOM-Index
2018-08-30,51.33,51.78,51.33,51.78,14134766,UPCOMINDEX,UPCOM-Index
2018-08-31,51.78,52.02,51.69,51.86,15615451,UPCOMINDEX,UPCOM-Index
2018-09-04,51.86,51.88,51.43,51.55,10168067,UPCOMINDEX,UPCOM-Index
2018-09-05,51.49,51.55,50.85,50.97,10411132,UPCOMINDEX,UPCOM-Index
2018-09-06,50.97,51.05,50.83,50.91,7513095,UPCOMINDEX,UPCOM-Index
2018-09-07,50.88,51.17,50.87,51.0,13156935,UPCOMINDEX,UPCOM-Index
2018-09-10,51.0,51.17,50.9,51.04,11682037,UPCOMINDEX,UPCOM-Index
2018-09-11,51.04,51.45,50.96,51.45,16718555,UPCOMINDEX,UPCOM-Index
2018-09-12,51.47,51.66,51.37,51.46,17410051,UPCOMINDEX,UPCOM-Index
2018-09-13,51.43,51.79,51.36,51.72,15878194,UPCOMINDEX,UPCOM-Index
2018-09-14,51.73,51.95,51.71,51.95,16109744,UPCOMINDEX,UPCOM-Index
2018-09-17,51.97,52.05,51.78,51.82,13667631,UPCOMINDEX,UPCOM-Index
2018-09-18,51.82,51.98,51.67,51.98,19416823,UPCOMINDEX,UPCOM-Index
2018-09-19,51.99,52.55,51.96,52.46,28235939,UPCOMINDEX,UPCOM-Index
2018-09-20,52.52,53.01,52.47,52.99,24819688,UPCOMINDEX,UPCOM-Index
2018-09-21,52.99,53.49,52.91,53.49,33964844,UPCOMINDEX,UPCOM-Index
2018-09-24,53.51,53.73,53.36,53.67,19425358,UPCOMINDEX,UPCOM-Index
2018-09-25,53.64,54.08,53.6,53.99,23365012,UPCOMINDEX,UPCOM-Index
2018-09-26,53.99,54.18,53.86,54.05,24699072,UPCOMINDEX,UPCOM-Index
2018-09-27,54.05,54.24,53.87,54.19,21292346,UPCOMINDEX,UPCOM-Index
2018-09-28,54.19,54.36,54.03,54.21,32735194,UPCOMINDEX,UPCOM-Index
2018-10-01,54.33,54.55,54.12,54.14,27974478,UPCOMINDEX,UPCOM-Index
2018-10-02,54.14,54.37,54.04,54.21,22661194,UPCOMINDEX,UPCOM-Index
2018-10-03,54.21,54.46,54.18,54.41,19235008,UPCOMINDEX,UPCOM-Index
2018-10-04,54.45,54.65,54.34,54.55,19132273,UPCOMINDEX,UPCOM-Index
2018-10-05,54.55,54.6,53.95,54.04,21794953,UPCOMINDEX,UPCOM-Index
2018-10-08,54.11,54.13,53.49,53.67,15874103,UPCOMINDEX,UPCOM-Index
2018-10-09,53.63,53.83,53.54,53.7,14611235,UPCOMINDEX,UPCOM-Index
2018-10-10,53.7,54.12,53.68,53.82,18670441,UPCOMINDEX,UPCOM-Index
2018-10-11,52.83,53.83,51.61,52.04,35424503,UPCOMINDEX,UPCOM-Index
2018-10-12,52.04,52.86,51.54,52.75,19350632,UPCOMINDEX,UPCOM-Index
2018-10-15,52.75,52.76,52.33,52.41,11071666,UPCOMINDEX,UPCOM-Index
2018-10-16,52.6,52.9,52.4,52.77,10064438,UPCOMINDEX,UPCOM-Index
2018-10-17,52.78,53.27,52.78,52.98,11857327,UPCOMINDEX,UPCOM-Index
2018-10-18,52.98,53.05,52.57,52.71,11080286,UPCOMINDEX,UPCOM-Index
2018-10-19,52.71,52.71,52.22,52.47,13345125,UPCOMINDEX,UPCOM-Index
2018-10-22,52.62,52.78,52.41,52.42,11879536,UPCOMINDEX,UPCOM-Index
2018-10-23,52.42,52.51,51.67,52.05,13644227,UPCOMINDEX,UPCOM-Index
2018-10-24,51.99,52.23,51.43,51.51,11898778,UPCOMINDEX,UPCOM-Index
2018-10-25,51.49,51.49,50.78,51.29,15070031,UPCOMINDEX,UPCOM-Index
2018-10-26,51.26,51.64,51.07,51.13,9990190,UPCOMINDEX,UPCOM-Index
2018-10-29,51.13,51.36,50.9,50.94,9839317,UPCOMINDEX,UPCOM-Index
2018-10-30,51.0,51.21,50.82,51.21,6998108,UPCOMINDEX,UPCOM-Index
2018-10-31,51.21,51.78,51.1,51.78,11437136,UPCOMINDEX,UPCOM-Index
2018-11-01,51.78,51.89,51.27,51.31,8932121,UPCOMINDEX,UPCOM-Index
2018-11-02,51.33,51.78,51.23,51.74,10979136,UPCOMINDEX,UPCOM-Index
2018-11-05,51.73,51.77,51.4,51.55,6273682,UPCOMINDEX,UPCOM-Index
2018-11-06,51.55,51.95,51.53,51.64,9139463,UPCOMINDEX,UPCOM-Index
2018-11-07,51.64,51.73,51.41,51.57,7499577,UPCOMINDEX,UPCOM-Index
2018-11-08,51.82,52.04,51.57,52.01,8511860,UPCOMINDEX,UPCOM-Index
2018-11-09,52.0,52.13,51.49,51.59,10200591,UPCOMINDEX,UPCOM-Index
2018-11-12,51.59,51.71,51.3,51.66,7610916,UPCOMINDEX,UPCOM-Index
2018-11-13,51.45,51.67,51.15,51.46,12107037,UPCOMINDEX,UPCOM-Index
2018-11-14,51.34,51.58,51.1,51.24,9985878,UPCOMINDEX,UPCOM-Index
2018-11-15,51.2,51.46,51.1,51.25,8387040,UPCOMINDEX,UPCOM-Index
2018-11-16,51.38,52.02,51.24,52.01,13326994,UPCOMINDEX,UPCOM-Index
2018-11-19,51.81,52.31,51.75,52.29,7551701,UPCOMINDEX,UPCOM-Index
2018-11-20,52.38,52.39,51.67,52.06,6919748,UPCOMINDEX,UPCOM-Index
2018-11-21,52.06,52.08,51.52,52.06,7808037,UPCOMINDEX,UPCOM-Index
2018-11-22,51.98,52.37,51.97,52.16,14187170,UPCOMINDEX,UPCOM-Index
2018-11-23,52.16,52.26,51.83,51.87,9313050,UPCOMINDEX,UPCOM-Index
2018-11-26,51.87,52.16,51.78,52.11,7825682,UPCOMINDEX,UPCOM-Index
2018-11-27,52.27,52.42,52.01,52.14,10240250,UPCOMINDEX,UPCOM-Index
2018-11-28,52.14,52.26,52.04,52.16,6638773,UPCOMINDEX,UPCOM-Index
2018-11-29,52.4,52.51,52.14,52.29,10647449,UPCOMINDEX,UPCOM-Index
2018-11-30,52.28,52.5,52.08,52.36,10025993,UPCOMINDEX,UPCOM-Index
2018-12-03,52.38,53.1,52.31,53.06,12988677,UPCOMINDEX,UPCOM-Index
2018-12-04,53.06,53.36,52.99,53.36,13564018,UPCOMINDEX,UPCOM-Index
2018-12-05,52.91,53.38,52.87,53.38,11117104,UPCOMINDEX,UPCOM-Index
