time,open,high,low,close,volume,symbol,name
2018-08-06,870.63,872.26,863.41,868.05,28995600,VNCONS,Tiêu dùng thiết yếu
2018-08-07,867.91,867.91,848.16,849.38,22558020,VNCONS,Tiêu dùng thiết yếu
2018-08-08,849.41,856.83,847.98,856.83,19214240,VNCONS,Tiêu dùng thiết yếu
2018-08-09,860.27,874.15,860.04,863.82,19935510,VNCONS,Tiêu dùng thiết yếu
2018-08-10,857.85,864.13,856.33,864.13,56169740,VNCONS,Tiêu dùng thiết yếu
2018-08-13,860.9,865.85,855.46,864.79,16245220,VNCONS,Tiêu dùng thiết yếu
2018-08-14,873.74,876.17,868.59,875.52,16211750,VNCONS,Tiêu dùng thiết yếu
2018-08-15,873.74,881.17,872.24,872.24,29003190,VNCONS,Tiêu dùng thiết yếu
2018-08-16,873.74,870.34,856.09,870.34,20763570,VNCONS,Tiêu dùng thiết yếu
2018-08-17,873.74,875.7,869.51,870.18,18663160,VNCONS,Tiêu dùng thiết yếu
2018-08-20,873.74,882.09,870.06,878.79,27484840,VNCONS,Tiêu dùng thiết yếu
2018-08-21,873.74,889.9,879.45,889.9,22678850,VNCONS,Tiêu dùng thiết yếu
2018-08-22,873.74,893.87,887.2,891.95,20775070,VNCONS,Tiêu dùng thiết yếu
2018-08-23,873.74,893.27,889.08,891.42,15704060,VNCONS,Tiêu dùng thiết yếu
2018-08-24,873.74,891.17,886.69,886.94,17057580,VNCONS,Tiêu dùng thiết yếu
2018-08-27,873.74,889.94,882.86,883.78,19899860,VNCONS,Tiêu dùng thiết yếu
2018-08-28,873.74,885.04,880.26,881.46,17321340,VNCONS,Tiêu dùng thiết yếu
2018-08-29,873.74,884.45,877.15,878.16,19074530,VNCONS,Tiêu dùng thiết yếu
2018-08-30,878.43,886.49,871.62,886.49,20817500,VNCONS,Tiêu dùng thiết yếu
2018-08-31,878.43,893.18,883.84,883.84,22155730,VNCONS,Tiêu dùng thiết yếu
2018-09-04,878.43,893.18,880.18,880.18,21466470,VNCONS,Tiêu dùng thiết yếu
2018-09-05,878.43,876.99,857.52,858.81,21910230,VNCONS,Tiêu dùng thiết yếu
2018-09-06,878.43,862.45,849.04,849.32,23640290,VNCONS,Tiêu dùng thiết yếu
2018-09-07,878.43,867.09,845.7,867.09,27244800,VNCONS,Tiêu dùng thiết yếu
2018-09-10,878.43,869.71,860.25,861.91,16446850,VNCONS,Tiêu dùng thiết yếu
2018-09-11,878.43,883.46,859.51,882.23,20340360,VNCONS,Tiêu dùng thiết yếu
2018-09-12,878.43,896.47,882.26,884.59,22163580,VNCONS,Tiêu dùng thiết yếu
2018-09-13,878.43,887.42,878.41,883.25,14394050,VNCONS,Tiêu dùng thiết yếu
2018-09-14,878.43,890.89,883.34,886.4,15838080,VNCONS,Tiêu dùng thiết yếu
2018-09-17,878.43,897.71,888.88,897.71,19859100,VNCONS,Tiêu dùng thiết yếu
2018-09-18,878.43,905.68,890.18,903.16,16712680,VNCONS,Tiêu dùng thiết yếu
2018-09-19,878.43,908.24,901.5,904.11,16943860,VNCONS,Tiêu dùng thiết yếu
2018-09-20,878.43,904.26,898.56,900.16,15124820,VNCONS,Tiêu dùng thiết yếu
2018-09-21,878.43,902.82,896.0,902.81,33230950,VNCONS,Tiêu dùng thiết yếu
2018-09-24,878.43,909.95,901.84,907.19,21789800,VNCONS,Tiêu dùng thiết yếu
2018-09-25,878.43,909.08,903.44,906.92,22934280,VNCONS,Tiêu dùng thiết yếu
2018-09-26,878.43,906.98,903.13,904.39,25308410,VNCONS,Tiêu dùng thiết yếu
2018-09-27,878.43,917.69,905.76,910.98,20151330,VNCONS,Tiêu dùng thiết yếu
2018-09-28,878.43,914.51,905.68,908.26,23189560,VNCONS,Tiêu dùng thiết yếu
2018-10-01,878.43,906.98,899.62,904.51,23193690,VNCONS,Tiêu dùng thiết yếu
2018-10-02,878.43,909.2,898.88,908.56,24280980,VNCONS,Tiêu dùng thiết yếu
2018-10-03,878.43,908.02,905.08,906.21,15713210,VNCONS,Tiêu dùng thiết yếu
2018-10-04,878.43,907.34,902.37,907.34,14563640,VNCONS,Tiêu dùng thiết yếu
2018-10-05,878.43,907.4,892.6,892.6,17024740,VNCONS,Tiêu dùng thiết yếu
2018-10-08,878.43,888.78,875.5,881.45,15804460,VNCONS,Tiêu dùng thiết yếu
2018-10-09,878.43,881.52,870.33,870.44,10974080,VNCONS,Tiêu dùng thiết yếu
