time,open,high,low,close,volume,symbol,name
2018-08-06,582.62,596.34,578.99,587.13,6566700,VNENE,Năng lượng
2018-08-07,586.64,588.23,574.67,578.35,4644650,VNENE,Năng lượng
2018-08-08,582.74,594.74,581.72,589.25,4377270,VNENE,Năng lượng
2018-08-09,595.65,600.49,584.63,587.76,7373150,VNENE,Năng lượng
2018-08-10,584.9,602.1,584.68,602.1,4913320,VNENE,Năng lượng
2018-08-13,603.23,616.65,595.45,616.65,5586770,VNENE,Năng lượng
2018-08-14,612.76,614.02,606.53,609.61,4206180,VNENE,Năng lượng
2018-08-15,612.76,612.25,585.21,586.02,7869580,VNENE,Năng lượng
2018-08-16,612.76,594.12,567.0,591.97,7353690,VNENE,Năng lượng
2018-08-17,612.76,597.0,581.49,582.77,4291560,VNENE,Năng lượng
2018-08-20,612.76,596.35,580.49,590.08,3259270,VNENE,Năng lượng
2018-08-21,612.76,597.21,588.19,595.91,3116360,VNENE,Năng lượng
2018-08-22,612.76,602.31,590.25,590.25,3941100,VNENE,Năng lượng
2018-08-23,612.76,597.08,590.1,595.88,3108300,VNENE,Năng lượng
2018-08-24,612.76,613.54,592.46,612.13,7603150,VNENE,Năng lượng
2018-08-27,612.76,620.74,613.0,613.0,6413470,VNENE,Năng lượng
2018-08-28,612.76,620.28,610.15,619.44,3599330,VNENE,Năng lượng
2018-08-29,612.76,618.06,605.69,608.06,4108690,VNENE,Năng lượng
2018-08-30,608.95,622.28,604.08,621.13,5125060,VNENE,Năng lượng
2018-08-31,608.95,627.51,613.32,613.79,3272140,VNENE,Năng lượng
2018-09-04,608.95,627.51,605.15,608.76,5227310,VNENE,Năng lượng
2018-09-05,608.95,609.99,596.13,601.14,4682740,VNENE,Năng lượng
2018-09-06,608.95,605.25,598.19,601.0,3201300,VNENE,Năng lượng
2018-09-07,608.95,610.08,599.7,610.08,2889920,VNENE,Năng lượng
2018-09-10,608.95,626.99,608.63,618.59,4356690,VNENE,Năng lượng
2018-09-11,608.95,625.59,617.54,625.36,3074660,VNENE,Năng lượng
2018-09-12,608.95,646.95,630.74,637.74,9663580,VNENE,Năng lượng
2018-09-13,608.95,648.1,631.19,632.75,7050800,VNENE,Năng lượng
2018-09-14,608.95,639.78,629.05,637.82,4326510,VNENE,Năng lượng
2018-09-17,608.95,650.68,635.97,647.21,6270570,VNENE,Năng lượng
2018-09-18,608.95,650.7,637.44,650.7,5037570,VNENE,Năng lượng
2018-09-19,608.95,660.54,646.26,648.54,7733060,VNENE,Năng lượng
2018-09-20,608.95,658.38,646.72,657.79,6503260,VNENE,Năng lượng
2018-09-21,608.95,660.06,647.2,651.94,6806310,VNENE,Năng lượng
