time,open,high,low,close,volume,symbol,name
2018-08-06,794.28,802.81,788.92,791.55,17965210,VNFIN,Tài chính
2018-08-07,789.64,804.9,787.13,795.33,23084220,VNFIN,Tài chính
2018-08-08,796.57,808.98,796.57,808.98,27731550,VNFIN,Tài chính
2018-08-09,808.98,822.78,808.8,809.44,39352530,VNFIN,Tài chính
2018-08-10,802.05,816.14,802.05,816.14,25818990,VNFIN,Tài chính
2018-08-13,814.34,837.62,810.7,837.62,54172670,VNFIN,Tài chính
2018-08-14,839.63,843.23,831.08,831.08,33017640,VNFIN,Tài chính
2018-08-15,839.63,837.05,811.58,811.58,41912490,VNFIN,Tài chính
2018-08-16,839.63,816.08,795.85,816.08,39391720,VNFIN,Tài chính
2018-08-17,839.63,825.26,810.56,810.56,29645950,VNFIN,Tài chính
2018-08-20,839.63,813.5,795.46,796.14,32287750,VNFIN,Tài chính
2018-08-21,839.63,813.48,794.13,813.48,30762890,VNFIN,Tài chính
2018-08-22,839.63,822.52,811.76,812.01,30046800,VNFIN,Tài chính
2018-08-23,839.63,815.9,807.39,813.28,22471810,VNFIN,Tài chính
2018-08-24,839.63,815.57,804.12,807.98,30360750,VNFIN,Tài chính
2018-08-27,839.63,824.39,809.36,819.84,39233790,VNFIN,Tài chính
2018-08-28,839.63,828.72,822.31,826.47,34098960,VNFIN,Tài chính
2018-08-29,839.63,826.0,819.5,820.34,23065610,VNFIN,Tài chính
2018-08-30,819.51,830.65,816.19,830.65,32176640,VNFIN,Tài chính
2018-08-31,819.51,838.14,823.99,824.78,36362080,VNFIN,Tài chính
2018-09-04,819.51,838.14,809.52,809.52,33291650,VNFIN,Tài chính
2018-09-05,819.51,811.89,797.62,801.96,29562860,VNFIN,Tài chính
2018-09-06,819.51,804.86,791.35,793.49,23239310,VNFIN,Tài chính
2018-09-07,819.51,807.9,793.79,807.9,25684070,VNFIN,Tài chính
2018-09-10,819.51,811.04,804.41,805.47,34280560,VNFIN,Tài chính
2018-09-11,819.51,817.47,802.55,817.47,31215930,VNFIN,Tài chính
2018-09-12,819.51,825.32,813.89,813.89,34974110,VNFIN,Tài chính
2018-09-13,819.51,820.06,811.44,812.98,27709720,VNFIN,Tài chính
2018-09-14,819.51,820.59,813.36,814.9,37508060,VNFIN,Tài chính
2018-09-17,819.51,815.4,805.58,805.97,28169940,VNFIN,Tài chính
2018-09-18,819.51,814.55,798.34,814.55,30378140,VNFIN,Tài chính
2018-09-19,819.51,829.91,815.59,822.71,40016600,VNFIN,Tài chính
2018-09-20,819.51,838.34,822.82,838.28,31901660,VNFIN,Tài chính
2018-09-21,819.51,852.93,838.76,847.27,62956190,VNFIN,Tài chính
2018-09-24,819.51,855.26,844.58,845.9,31948760,VNFIN,Tài chính
2018-09-25,819.51,850.06,839.47,842.38,30229020,VNFIN,Tài chính
2018-09-26,819.51,853.08,839.59,843.32,32548760,VNFIN,Tài chính
2018-09-27,819.51,851.14,843.69,845.57,29279660,VNFIN,Tài chính
2018-09-28,819.51,863.95,845.7,858.24,60514080,VNFIN,Tài chính
2018-10-01,819.51,868.85,855.79,857.1,48838420,VNFIN,Tài chính
2018-10-02,819.51,863.03,851.15,855.66,34903610,VNFIN,Tài chính
2018-10-03,819.51,862.26,854.06,859.2,34468120,VNFIN,Tài chính
2018-10-04,819.51,870.04,859.65,867.96,48253700,VNFIN,Tài chính
2018-10-05,819.51,870.96,853.59,853.59,46708210,VNFIN,Tài chính
2018-10-08,819.51,855.5,846.03,848.06,38983310,VNFIN,Tài chính
2018-10-09,819.51,851.8,838.44,839.14,43696110,VNFIN,Tài chính
2018-10-10,819.51,840.34,828.39,833.11,33650870,VNFIN,Tài chính
2018-10-11,819.51,808.56,779.27,779.27,80969290,VNFIN,Tài chính
2018-10-12,819.51,805.63,771.23,804.69,49800630,VNFIN,Tài chính
2018-10-15,819.51,806.1,790.5,791.24,23636320,VNFIN,Tài chính
2018-10-16,790.21,802.8,790.21,802.8,24184980,VNFIN,Tài chính
2018-10-17,805.49,813.55,803.54,805.67,30599420,VNFIN,Tài chính
2018-10-18,801.64,805.53,793.18,795.07,29220400,VNFIN,Tài chính
2018-10-19,794.94,796.96,778.67,792.45,25333510,VNFIN,Tài chính
2018-10-22,797.39,801.78,776.12,776.12,25642190,VNFIN,Tài chính
2018-10-23,770.82,770.82,743.63,762.05,42374940,VNFIN,Tài chính
2018-10-24,762.05,767.69,752.78,752.78,24176550,VNFIN,Tài chính
2018-10-25,720.41,743.14,716.29,743.14,31572460,VNFIN,Tài chính
2018-10-26,751.83,751.83,729.86,729.86,22131110,VNFIN,Tài chính
2018-10-29,728.11,730.23,716.6,720.86,24289510,VNFIN,Tài chính
2018-10-30,716.78,729.99,714.47,723.43,21936050,VNFIN,Tài chính
2018-10-31,728.28,750.56,728.28,749.55,26120370,VNFIN,Tài chính
2018-11-01,728.28,750.77,728.28,733.08,18022910,VNFIN,Tài chính
2018-11-02,728.28,753.13,728.28,747.88,27265080,VNFIN,Tài chính
2018-11-05,745.87,750.24,741.24,750.24,18248710,VNFIN,Tài chính
2018-11-06,753.95,754.52,743.0,743.0,17398640,VNFIN,Tài chính
2018-11-07,745.4,749.1,737.07,742.14,25788710,VNFIN,Tài chính
2018-11-08,747.01,754.29,742.43,742.43,16309750,VNFIN,Tài chính
2018-11-09,741.88,744.26,727.76,727.76,17675530,VNFIN,Tài chính
2018-11-12,722.29,728.02,716.22,727.93,18917880,VNFIN,Tài chính
2018-11-13,717.61,721.02,713.97,717.46,9798330,VNFIN,Tài chính
2018-11-14,717.57,722.31,705.95,711.61,21363220,VNFIN,Tài chính
2018-11-15,711.08,714.97,699.3,704.29,19040840,VNFIN,Tài chính
2018-11-16,709.3,726.57,708.01,722.57,22242430,VNFIN,Tài chính
2018-11-19,723.98,741.91,723.98,741.91,23710340,VNFIN,Tài chính
2018-11-20,736.0,742.74,735.87,740.69,21314990,VNFIN,Tài chính
2018-11-21,732.23,746.55,730.24,746.55,21076380,VNFIN,Tài chính
