time,open,high,low,close,volume,symbol,name
2018-08-06,1117.45,1133.14,1114.0,1125.7,579340,VNHEAL,Y tế
2018-08-07,1118.18,1125.83,1118.18,1123.83,433840,VNHEAL,Y tế
2018-08-08,1129.1,1129.1,1115.59,1118.65,487670,VNHEAL,Y tế
2018-08-09,1121.98,1124.88,1106.63,1109.39,465380,VNHEAL,Y tế
2018-08-10,1108.34,1122.46,1105.7,1122.46,573200,VNHEAL,Y tế
2018-08-13,1122.15,1144.67,1116.76,1144.2,474600,VNHEAL,Y tế
2018-08-14,1144.07,1149.79,1131.98,1139.52,322030,VNHEAL,Y tế
2018-08-15,1144.07,1139.78,1114.76,1130.09,209740,VNHEAL,Y tế
2018-08-16,1144.07,1128.01,1113.09,1121.12,252510,VNHEAL,Y tế
2018-08-17,1144.07,1126.64,1095.86,1105.56,733980,VNHEAL,Y tế
2018-08-20,1144.07,1102.02,1084.12,1085.12,559110,VNHEAL,Y tế
2018-08-21,1144.07,1085.0,1059.47,1077.73,801190,VNHEAL,Y tế
2018-08-22,1144.07,1095.57,1069.66,1095.57,505240,VNHEAL,Y tế
2018-08-23,1144.07,1096.21,1076.81,1077.86,476700,VNHEAL,Y tế
2018-08-24,1144.07,1079.98,1071.17,1079.02,322420,VNHEAL,Y tế
2018-08-27,1144.07,1078.77,1060.39,1065.99,629380,VNHEAL,Y tế
2018-08-28,1144.07,1064.18,1056.02,1062.31,496110,VNHEAL,Y tế
2018-08-29,1144.07,1066.37,1052.85,1057.18,578270,VNHEAL,Y tế
2018-08-30,1054.11,1064.51,1054.11,1060.07,668420,VNHEAL,Y tế
2018-08-31,1054.11,1068.52,1060.95,1067.88,486190,VNHEAL,Y tế
2018-09-04,1054.11,1072.4,1059.7,1063.9,648690,VNHEAL,Y tế
2018-09-05,1054.11,1068.79,1052.31,1052.31,452200,VNHEAL,Y tế
2018-09-06,1054.11,1063.65,1049.74,1060.75,444950,VNHEAL,Y tế
2018-09-07,1054.11,1061.12,1056.09,1059.91,1592250,VNHEAL,Y tế
2018-09-10,1054.11,1059.4,1052.96,1055.92,1532540,VNHEAL,Y tế
2018-09-11,1054.11,1061.0,1055.12,1060.44,572020,VNHEAL,Y tế
2018-09-12,1054.11,1072.76,1059.9,1061.03,460790,VNHEAL,Y tế
2018-09-13,1054.11,1070.0,1053.21,1065.84,657520,VNHEAL,Y tế
2018-09-14,1054.11,1074.0,1061.77,1061.77,730310,VNHEAL,Y tế
2018-09-17,1054.11,1070.17,1059.45,1069.96,414430,VNHEAL,Y tế
2018-09-18,1054.11,1070.97,1061.67,1069.83,562010,VNHEAL,Y tế
2018-09-19,1054.11,1085.75,1077.92,1079.66,786060,VNHEAL,Y tế
