time,open,high,low,close,volume,symbol,name
2018-08-06,679.49,682.72,676.04,677.34,16726410,VNIND,Công nghiệp
2018-08-07,677.26,677.26,672.05,673.04,18286270,VNIND,Công nghiệp
2018-08-08,673.27,678.15,673.27,676.96,13753080,VNIND,Công nghiệp
2018-08-09,676.68,684.62,676.68,682.64,19494530,VNIND,Công nghiệp
2018-08-10,681.37,686.41,679.51,686.41,16241330,VNIND,Công nghiệp
2018-08-13,685.12,690.84,683.95,690.53,16938330,VNIND,Công nghiệp
2018-08-14,690.53,696.81,688.12,695.86,24672820,VNIND,Công nghiệp
2018-08-15,690.53,696.86,677.8,679.26,18225440,VNIND,Công nghiệp
2018-08-16,690.53,679.25,665.47,679.25,17204650,VNIND,Công nghiệp
2018-08-17,690.53,687.53,680.13,683.15,13590280,VNIND,Công nghiệp
2018-08-20,690.53,685.13,679.01,683.96,15880230,VNIND,Công nghiệp
2018-08-21,690.53,688.41,683.28,688.36,21344970,VNIND,Công nghiệp
2018-08-22,690.53,696.88,690.93,694.48,21101040,VNIND,Công nghiệp
2018-08-23,690.53,696.08,691.87,694.36,19112420,VNIND,Công nghiệp
2018-08-24,690.53,698.0,691.65,697.17,19597890,VNIND,Công nghiệp
2018-08-27,690.53,700.61,697.01,698.83,21541470,VNIND,Công nghiệp
2018-08-28,690.53,705.33,698.24,705.33,21002190,VNIND,Công nghiệp
2018-08-29,690.53,705.72,699.36,703.55,18330440,VNIND,Công nghiệp
2018-08-30,702.93,708.9,700.25,708.9,18285070,VNIND,Công nghiệp
2018-08-31,702.93,712.5,702.97,704.12,19663140,VNIND,Công nghiệp
2018-09-04,702.93,712.5,680.91,680.91,20397050,VNIND,Công nghiệp
2018-09-05,702.93,691.81,684.34,689.9,19660120,VNIND,Công nghiệp
2018-09-06,702.93,690.35,676.79,679.55,16789440,VNIND,Công nghiệp
2018-09-07,702.93,684.65,678.53,682.64,14526230,VNIND,Công nghiệp
2018-09-10,702.93,683.01,677.02,678.16,14674350,VNIND,Công nghiệp
2018-09-11,702.93,689.72,677.53,689.72,17838190,VNIND,Công nghiệp
2018-09-12,702.93,693.44,685.78,688.75,17866320,VNIND,Công nghiệp
2018-09-13,702.93,690.44,685.23,686.62,18977240,VNIND,Công nghiệp
2018-09-14,702.93,690.05,686.74,689.93,18200090,VNIND,Công nghiệp
2018-09-17,702.93,688.9,681.27,683.19,18201880,VNIND,Công nghiệp
2018-09-18,702.93,691.27,678.41,691.27,25257090,VNIND,Công nghiệp
2018-09-19,702.93,696.15,691.0,693.99,36557120,VNIND,Công nghiệp
2018-09-20,702.93,698.85,694.52,698.62,33875870,VNIND,Công nghiệp
2018-09-21,702.93,702.61,693.5,697.4,33218460,VNIND,Công nghiệp
2018-09-24,702.93,705.77,698.67,705.77,23708100,VNIND,Công nghiệp
