time,open,high,low,close,volume,symbol,name
2020-01-02,1130.49,1144.24,1125.25,1136.3,1487170,VNIT,Công nghệ thông tin
2020-01-03,1141.79,1145.55,1114.46,1118.06,2522790,VNIT,Công nghệ thông tin
2020-01-06,1108.87,1118.14,1104.99,1107.14,1475720,VNIT,Công nghệ thông tin
2020-01-07,1107.73,1127.13,1107.16,1127.13,1236990,VNIT,Công nghệ thông tin
2020-01-08,1127.13,1127.13,1102.63,1102.82,2336520,VNIT,Công nghệ thông tin
2020-01-09,1115.88,1119.61,1108.04,1117.13,1447630,VNIT,Công nghệ thông tin
2020-01-10,1117.17,1121.5,1108.43,1115.69,1538330,VNIT,Công nghệ thông tin
2020-01-13,1113.86,1117.38,1106.09,1108.31,1355120,VNIT,Công nghệ thông tin
2020-01-14,1108.35,1114.14,1106.4,1106.4,1263930,VNIT,Công nghệ thông tin
2020-01-15,1105.18,1108.87,1103.03,1107.16,1605240,VNIT,Công nghệ thông tin
2020-01-16,1107.04,1128.29,1106.89,1125.31,2354350,VNIT,Công nghệ thông tin
2020-01-17,1125.31,1127.25,1106.7,1118.15,2141200,VNIT,Công nghệ thông tin
2020-01-20,1116.39,1125.09,1109.83,1114.46,1583570,VNIT,Công nghệ thông tin
2020-01-21,1113.87,1125.53,1079.09,1079.09,4920830,VNIT,Công nghệ thông tin
2020-01-22,1070.0,1098.32,1064.44,1098.32,3640370,VNIT,Công nghệ thông tin
2020-01-30,1076.35,1085.27,1048.37,1063.16,3374470,VNIT,Công nghệ thông tin
2020-01-31,1050.35,1066.86,1011.62,1011.62,4649350,VNIT,Công nghệ thông tin
2020-02-03,1011.48,1017.44,953.12,999.41,4306030,VNIT,Công nghệ thông tin
2020-02-04,1015.52,1017.37,990.56,1006.48,2068980,VNIT,Công nghệ thông tin
2020-02-05,1014.11,1024.21,1009.12,1009.12,2053220,VNIT,Công nghệ thông tin
2020-02-06,1009.12,1040.01,1006.08,1040.01,2191970,VNIT,Công nghệ thông tin
2020-02-07,1041.35,1041.35,1025.95,1034.9,1720510,VNIT,Công nghệ thông tin
2020-02-10,1018.25,1029.77,1013.09,1022.6,1616400,VNIT,Công nghệ thông tin
2020-02-11,1028.09,1042.93,1024.15,1040.95,1759000,VNIT,Công nghệ thông tin
2020-02-12,1044.64,1061.19,1043.08,1050.08,1777580,VNIT,Công nghệ thông tin
2020-02-13,1048.15,1055.32,1042.06,1053.36,1710050,VNIT,Công nghệ thông tin
2020-02-14,1049.79,1060.23,1048.61,1060.23,2333960,VNIT,Công nghệ thông tin
2020-02-17,1062.51,1062.51,1051.53,1055.04,2188240,VNIT,Công nghệ thông tin
2020-02-18,1059.09,1088.05,1056.8,1088.05,2355250,VNIT,Công nghệ thông tin
2020-02-19,1085.98,1092.37,1078.91,1082.57,1534290,VNIT,Công nghệ thông tin
2020-02-20,1091.68,1097.26,1078.67,1084.87,1957770,VNIT,Công nghệ thông tin
2020-02-21,1084.94,1087.34,1065.11,1065.11,2249950,VNIT,Công nghệ thông tin
2020-02-24,1061.95,1061.95,1020.35,1020.35,2923950,VNIT,Công nghệ thông tin
2020-02-25,1012.79,1048.27,1010.72,1048.27,2393100,VNIT,Công nghệ thông tin
2020-02-26,1036.72,1069.31,1029.07,1064.96,3742020,VNIT,Công nghệ thông tin
2020-02-27,1065.03,1093.05,1058.38,1084.26,3470370,VNIT,Công nghệ thông tin
2020-02-28,1084.11,1084.11,1057.08,1066.24,2732290,VNIT,Công nghệ thông tin
2020-03-02,1066.17,1086.21,1061.04,1076.99,2345440,VNIT,Công nghệ thông tin
2020-03-03,1086.09,1100.08,1076.99,1082.82,1898750,VNIT,Công nghệ thông tin
2020-03-04,1081.88,1081.88,1063.96,1075.73,2306180,VNIT,Công nghệ thông tin
2020-03-05,1075.8,1083.19,1058.5,1058.79,1870640,VNIT,Công nghệ thông tin
2020-03-06,1051.41,1054.1,1038.52,1048.27,2301570,VNIT,Công nghệ thông tin
2020-03-09,1047.93,1047.93,976.37,976.37,5356290,VNIT,Công nghệ thông tin
2020-03-10,974.56,1008.78,974.56,1002.67,2947000,VNIT,Công nghệ thông tin
2020-03-11,1008.62,1017.33,958.65,982.12,3602700,VNIT,Công nghệ thông tin
2020-03-12,942.08,951.4,914.43,928.99,4465460,VNIT,Công nghệ thông tin
2020-03-13,901.89,960.73,872.53,927.54,4059180,VNIT,Công nghệ thông tin
2020-03-16,927.54,955.47,914.72,916.31,2726480,VNIT,Công nghệ thông tin
2020-03-17,902.99,932.6,893.89,932.34,3088630,VNIT,Công nghệ thông tin
2020-03-18,934.49,945.34,929.4,930.44,2313390,VNIT,Công nghệ thông tin
2020-03-19,929.89,929.89,915.33,916.74,1792210,VNIT,Công nghệ thông tin
2020-03-20,925.91,927.55,910.72,916.67,1776520,VNIT,Công nghệ thông tin
2020-03-23,886.61,896.48,853.25,853.25,3201310,VNIT,Công nghệ thông tin
2020-03-24,864.13,864.74,837.18,854.7,2687180,VNIT,Công nghệ thông tin
2020-03-25,882.0,891.83,868.56,884.97,2733890,VNIT,Công nghệ thông tin
2020-03-26,875.87,882.87,852.21,852.21,2814490,VNIT,Công nghệ thông tin
2020-03-27,850.8,854.51,827.82,832.23,3176130,VNIT,Công nghệ thông tin
2020-03-30,831.96,831.96,774.99,781.92,2584340,VNIT,Công nghệ thông tin
2020-03-31,803.76,818.88,775.69,794.12,2098740,VNIT,Công nghệ thông tin
2020-04-01,794.19,833.68,788.06,816.97,1801910,VNIT,Công nghệ thông tin
2020-04-03,829.71,861.17,824.36,861.0,2820990,VNIT,Công nghệ thông tin
2020-04-06,886.69,916.89,879.68,916.66,3241810,VNIT,Công nghệ thông tin
2020-04-07,918.67,919.75,898.24,915.93,3117070,VNIT,Công nghệ thông tin
2020-04-08,894.09,909.99,885.41,906.99,2265140,VNIT,Công nghệ thông tin
2020-04-09,907.32,921.04,907.32,912.08,2333870,VNIT,Công nghệ thông tin
2020-04-10,907.17,910.32,889.71,899.2,2335040,VNIT,Công nghệ thông tin
2020-04-13,899.02,910.83,893.49,901.06,1771750,VNIT,Công nghệ thông tin
2020-04-14,921.82,957.11,916.36,957.11,4565530,VNIT,Công nghệ thông tin
2020-04-15,975.59,982.39,964.69,969.33,2597510,VNIT,Công nghệ thông tin
2020-04-16,969.53,982.67,955.02,974.04,1930840,VNIT,Công nghệ thông tin
2020-04-17,990.42,993.74,973.64,992.15,3311860,VNIT,Công nghệ thông tin
2020-04-20,1005.03,1007.8,983.94,994.5,2833310,VNIT,Công nghệ thông tin
2020-04-21,994.5,994.5,947.33,954.53,4428870,VNIT,Công nghệ thông tin
2020-04-22,954.53,990.23,943.56,988.41,2943670,VNIT,Công nghệ thông tin
2020-04-23,990.84,1011.5,987.79,988.09,1853280,VNIT,Công nghệ thông tin
2020-04-24,988.42,991.67,970.79,988.42,1744520,VNIT,Công nghệ thông tin
2020-04-27,982.37,997.94,977.56,982.03,1831780,VNIT,Công nghệ thông tin
2020-04-28,982.35,982.91,971.69,981.61,1406380,VNIT,Công nghệ thông tin
2020-04-29,981.76,993.9,977.98,984.81,2607480,VNIT,Công nghệ thông tin
2020-05-04,973.93,987.02,970.29,979.27,1903930,VNIT,Công nghệ thông tin
2020-05-05,979.4,988.5,978.16,986.47,1083160,VNIT,Công nghệ thông tin
2020-05-06,988.25,1026.87,987.94,1023.74,4359630,VNIT,Công nghệ thông tin
2020-05-07,1024.07,1035.48,1015.23,1035.32,2833810,VNIT,Công nghệ thông tin
2020-05-08,1035.46,1064.63,1035.46,1038.25,4335840,VNIT,Công nghệ thông tin
2020-05-11,1038.51,1051.35,1031.03,1044.68,2964350,VNIT,Công nghệ thông tin
2020-05-12,1044.68,1052.41,1036.73,1052.41,3476870,VNIT,Công nghệ thông tin
2020-05-13,1052.38,1100.1,1052.38,1096.11,7693630,VNIT,Công nghệ thông tin
2020-05-14,1095.31,1096.11,1076.85,1081.19,3054400,VNIT,Công nghệ thông tin
2020-05-15,1072.89,1084.93,1059.85,1066.65,2948480,VNIT,Công nghệ thông tin
2020-05-18,1066.65,1074.09,1053.59,1074.09,2675480,VNIT,Công nghệ thông tin
2020-05-19,1074.48,1101.19,1074.48,1092.95,3417790,VNIT,Công nghệ thông tin
2020-05-20,1083.12,1092.95,1078.1,1084.95,1693170,VNIT,Công nghệ thông tin
2020-05-21,1084.35,1093.47,1083.34,1093.08,2510780,VNIT,Công nghệ thông tin
2020-05-22,1093.28,1093.28,1074.85,1074.85,2136330,VNIT,Công nghệ thông tin
2020-05-25,1074.85,1078.47,1061.19,1075.3,2562290,VNIT,Công nghệ thông tin
2020-05-26,1075.43,1082.8,1073.26,1082.8,2028470,VNIT,Công nghệ thông tin
2020-05-27,1082.87,1095.66,1065.18,1065.18,2646810,VNIT,Công nghệ thông tin
2020-05-28,1065.13,1077.6,1064.87,1065.26,1582690,VNIT,Công nghệ thông tin
2020-05-29,1065.34,1068.03,1055.07,1064.29,1733600,VNIT,Công nghệ thông tin
2020-06-01,1064.29,1072.81,1064.27,1071.56,1810030,VNIT,Công nghệ thông tin
2020-06-02,1071.76,1073.92,1064.54,1064.54,2089500,VNIT,Công nghệ thông tin
2020-06-03,1064.79,1084.76,1062.64,1079.61,2718110,VNIT,Công nghệ thông tin
2020-06-04,1082.31,1085.97,1076.19,1076.19,2291570,VNIT,Công nghệ thông tin
2020-06-05,1076.19,1083.66,1071.94,1083.21,2283800,VNIT,Công nghệ thông tin
2020-06-08,1083.31,1112.29,1083.31,1100.17,5283160,VNIT,Công nghệ thông tin
2020-06-09,1105.4,1107.8,1092.37,1093.45,2541220,VNIT,Công nghệ thông tin
2020-06-10,1093.45,1094.5,1081.5,1089.4,2268760,VNIT,Công nghệ thông tin
2020-06-11,1089.8,1089.84,1026.5,1026.5,5608480,VNIT,Công nghệ thông tin
2020-06-12,1025.03,1048.53,1002.86,1048.53,4409190,VNIT,Công nghệ thông tin
2020-06-15,1069.52,1069.65,1023.38,1025.33,2405640,VNIT,Công nghệ thông tin
2020-06-16,1025.86,1043.32,1025.86,1038.8,1614940,VNIT,Công nghệ thông tin
2020-06-17,1040.34,1043.55,1032.27,1035.12,1551740,VNIT,Công nghệ thông tin
2020-06-18,1034.81,1043.07,1030.9,1043.07,2105430,VNIT,Công nghệ thông tin
2020-06-19,1043.07,1054.07,1043.07,1054.07,1909760,VNIT,Công nghệ thông tin
2020-06-22,1054.14,1056.02,1051.11,1055.96,1495570,VNIT,Công nghệ thông tin
2020-06-23,1074.36,1084.94,1050.61,1067.27,2574750,VNIT,Công nghệ thông tin
2020-06-24,1074.59,1076.15,1058.33,1061.35,1414950,VNIT,Công nghệ thông tin
2020-06-25,1059.61,1060.93,1047.86,1052.65,1671870,VNIT,Công nghệ thông tin
2020-06-26,1052.65,1059.49,1049.63,1054.18,1398600,VNIT,Công nghệ thông tin
2020-06-29,1047.38,1047.83,1030.01,1035.21,2175670,VNIT,Công nghệ thông tin
2020-06-30,1038.31,1044.31,1022.95,1028.97,2611180,VNIT,Công nghệ thông tin
2020-07-01,1029.83,1044.62,1028.97,1042.45,1582670,VNIT,Công nghệ thông tin
2020-07-02,1046.37,1046.44,1038.34,1043.46,1271930,VNIT,Công nghệ thông tin
2020-07-03,1043.6,1050.49,1040.5,1043.1,1089410,VNIT,Công nghệ thông tin
2020-07-06,1048.11,1057.45,1044.45,1054.14,1915060,VNIT,Công nghệ thông tin
2020-07-07,1059.52,1077.99,1058.7,1068.13,3375940,VNIT,Công nghệ thông tin
2020-07-08,1068.13,1077.02,1064.63,1071.2,2041370,VNIT,Công nghệ thông tin
2020-07-09,1075.33,1087.36,1073.1,1087.35,3162230,VNIT,Công nghệ thông tin
2020-07-10,1082.52,1086.14,1069.31,1077.17,1869090,VNIT,Công nghệ thông tin
2020-07-13,1081.25,1100.0,1074.93,1092.98,3337310,VNIT,Công nghệ thông tin
2020-07-14,1092.98,1096.39,1084.17,1091.08,2701160,VNIT,Công nghệ thông tin
2020-07-15,1091.08,1100.3,1088.03,1092.02,2203130,VNIT,Công nghệ thông tin
2020-07-16,1091.01,1094.57,1087.65,1091.76,1518540,VNIT,Công nghệ thông tin
2020-07-17,1089.6,1089.86,1081.89,1081.89,1987360,VNIT,Công nghệ thông tin
2020-07-20,1082.42,1084.52,1066.73,1067.41,2880270,VNIT,Công nghệ thông tin
2020-07-21,1069.88,1079.21,1063.93,1077.02,1978620,VNIT,Công nghệ thông tin
2020-07-22,1077.69,1081.91,1065.21,1068.26,1340220,VNIT,Công nghệ thông tin
2020-07-23,1067.65,1074.41,1059.86,1074.41,1503560,VNIT,Công nghệ thông tin
2020-07-24,1066.74,1069.95,1023.57,1031.0,4430060,VNIT,Công nghệ thông tin
2020-07-27,1010.2,1030.85,979.2,981.95,4325190,VNIT,Công nghệ thông tin
2020-07-28,997.45,1030.06,992.41,1028.03,2620780,VNIT,Công nghệ thông tin
2020-07-29,996.5,1011.05,985.4,1002.58,2535420,VNIT,Công nghệ thông tin
2020-07-30,1003.11,1015.89,1002.58,1015.89,1239500,VNIT,Công nghệ thông tin
2020-07-31,1015.89,1016.27,991.05,1001.23,1852810,VNIT,Công nghệ thông tin
2020-08-03,1003.63,1032.52,1003.63,1032.52,2073000,VNIT,Công nghệ thông tin
2020-08-04,1032.92,1052.98,1032.92,1048.32,1666040,VNIT,Công nghệ thông tin
2020-08-05,1048.39,1061.91,1042.5,1059.28,2363230,VNIT,Công nghệ thông tin
2020-08-06,1058.96,1064.65,1053.13,1054.96,1751130,VNIT,Công nghệ thông tin
2020-08-07,1055.4,1076.2,1055.4,1061.26,2083830,VNIT,Công nghệ thông tin
2020-08-10,1061.92,1076.77,1061.66,1064.37,1879630,VNIT,Công nghệ thông tin
2020-08-11,1064.64,1069.98,1059.25,1060.02,1921610,VNIT,Công nghệ thông tin
2020-08-12,1059.88,1070.03,1058.15,1070.03,1726800,VNIT,Công nghệ thông tin
2020-08-13,1070.03,1079.39,1070.48,1079.39,1664570,VNIT,Công nghệ thông tin
2020-08-14,1079.54,1084.84,1067.99,1076.14,2459840,VNIT,Công nghệ thông tin
2020-08-17,1076.14,1076.14,1047.71,1058.83,1671850,VNIT,Công nghệ thông tin
2020-08-18,1059.11,1062.42,1054.85,1056.4,1270100,VNIT,Công nghệ thông tin
2020-08-19,1057.67,1064.23,1053.89,1059.81,2583520,VNIT,Công nghệ thông tin
2020-08-20,1060.21,1074.12,1060.21,1065.94,3066230,VNIT,Công nghệ thông tin
2020-08-21,1067.27,1076.83,1067.27,1073.87,1828010,VNIT,Công nghệ thông tin
2020-08-24,1075.07,1100.61,1075.07,1098.74,4857300,VNIT,Công nghệ thông tin
2020-08-25,1098.74,1108.46,1098.74,1105.77,4174790,VNIT,Công nghệ thông tin
2020-08-26,1105.77,1105.94,1091.62,1098.01,2056190,VNIT,Công nghệ thông tin
2020-08-27,1098.21,1136.66,1095.04,1131.7,5391970,VNIT,Công nghệ thông tin
2020-08-28,1149.24,1156.51,1131.19,1131.19,5649380,VNIT,Công nghệ thông tin
2020-08-31,1131.19,1140.39,1118.13,1121.41,5230130,VNIT,Công nghệ thông tin
2020-09-01,1123.42,1144.07,1117.46,1132.65,3375900,VNIT,Công nghệ thông tin
2020-09-03,1132.92,1146.07,1131.97,1143.45,3382580,VNIT,Công nghệ thông tin
2020-09-04,1141.98,1141.98,1122.69,1133.64,2989750,VNIT,Công nghệ thông tin
2020-09-07,1133.63,1133.83,1101.28,1101.74,3368760,VNIT,Công nghệ thông tin
2020-09-08,1101.74,1124.35,1101.14,1124.35,2470410,VNIT,Công nghệ thông tin
2020-09-09,1106.57,1126.4,1104.52,1120.21,2914590,VNIT,Công nghệ thông tin
2020-09-10,1120.35,1133.01,1117.64,1119.51,1951110,VNIT,Công nghệ thông tin
2020-09-11,1115.32,1121.98,1112.32,1120.67,1921980,VNIT,Công nghệ thông tin
2020-09-14,1122.79,1128.37,1120.02,1124.46,2203150,VNIT,Công nghệ thông tin
2020-09-15,1138.1,1139.74,1125.13,1139.74,3148100,VNIT,Công nghệ thông tin
2020-09-16,1139.74,1156.5,1139.74,1148.5,3342750,VNIT,Công nghệ thông tin
2020-09-17,1144.25,1149.1,1136.29,1137.66,2655150,VNIT,Công nghệ thông tin
2020-09-18,1137.66,1167.17,1137.66,1162.6,3946790,VNIT,Công nghệ thông tin
2020-09-21,1162.6,1173.2,1162.6,1164.0,2456810,VNIT,Công nghệ thông tin
2020-09-22,1164.0,1166.35,1153.07,1164.08,2383030,VNIT,Công nghệ thông tin
2020-09-23,1166.52,1170.71,1156.01,1162.12,2517890,VNIT,Công nghệ thông tin
