time,open,high,low,close,volume,symbol,name
2018-08-06,997.88,1003.89,995.01,996.59,73319640,VNMID,VN Mid Cap
2018-08-07,994.96,996.13,986.75,986.97,53923920,VNMID,VN Mid Cap
2018-08-08,987.08,994.27,987.08,992.94,58097030,VNMID,VN Mid Cap
2018-08-09,993.12,1003.66,993.12,995.09,60036580,VNMID,VN Mid Cap
2018-08-10,986.47,998.28,985.14,998.28,87458540,VNMID,VN Mid Cap
2018-08-13,997.18,1005.76,994.01,1005.17,54170530,VNMID,VN Mid Cap
2018-08-14,1005.27,1009.62,1004.34,1007.35,54036970,VNMID,VN Mid Cap
2018-08-15,1007.31,1007.52,991.33,993.41,68595470,VNMID,VN Mid Cap
2018-08-16,991.25,992.5,979.88,992.31,56212330,VNMID,VN Mid Cap
2018-08-17,994.53,998.14,989.62,991.18,43702230,VNMID,VN Mid Cap
2018-08-20,991.18,1000.3,991.03,999.93,66110350,VNMID,VN Mid Cap
2018-08-21,999.51,1013.07,999.51,1013.07,79705740,VNMID,VN Mid Cap
2018-08-22,1013.24,1021.16,1012.94,1013.92,78274600,VNMID,VN Mid Cap
2018-08-23,1013.87,1017.93,1011.14,1017.93,59498000,VNMID,VN Mid Cap
2018-08-24,1018.0,1019.5,1013.37,1018.7,56629620,VNMID,VN Mid Cap
2018-08-27,1019.31,1023.12,1017.68,1017.68,68904020,VNMID,VN Mid Cap
2018-08-28,1017.51,1022.41,1017.51,1022.29,57779220,VNMID,VN Mid Cap
2018-08-29,1021.42,1026.0,1017.93,1024.1,60680200,VNMID,VN Mid Cap
2018-08-30,1024.33,1031.66,1020.99,1031.66,61160930,VNMID,VN Mid Cap
2018-08-31,1031.35,1034.79,1025.61,1027.4,60585540,VNMID,VN Mid Cap
2018-09-04,1027.4,1034.79,1011.74,1015.56,72776530,VNMID,VN Mid Cap
2018-09-05,1012.8,1015.94,1004.12,1008.62,61847280,VNMID,VN Mid Cap
2018-09-06,1007.28,1010.09,999.52,1003.68,53994140,VNMID,VN Mid Cap
2018-09-07,1003.33,1008.48,998.23,1008.48,60253000,VNMID,VN Mid Cap
2018-09-10,1008.37,1008.37,1000.92,1005.25,48580960,VNMID,VN Mid Cap
2018-09-11,1002.46,1021.11,1001.69,1021.11,56374560,VNMID,VN Mid Cap
2018-09-12,1019.91,1025.72,1018.62,1020.49,65297430,VNMID,VN Mid Cap
2018-09-13,1021.14,1025.52,1020.54,1024.86,50950160,VNMID,VN Mid Cap
2018-09-14,1025.24,1027.12,1021.79,1024.52,48873890,VNMID,VN Mid Cap
2018-09-17,1024.12,1026.71,1021.75,1023.27,50468840,VNMID,VN Mid Cap
2018-09-18,1022.44,1032.62,1016.9,1032.62,57288050,VNMID,VN Mid Cap
2018-09-19,1032.62,1045.33,1032.62,1039.58,76296390,VNMID,VN Mid Cap
2018-09-20,1040.57,1051.56,1040.57,1051.56,62472380,VNMID,VN Mid Cap
2018-09-21,1052.2,1058.18,1043.94,1050.78,80477360,VNMID,VN Mid Cap
2018-09-24,1053.47,1057.82,1051.28,1052.24,60255270,VNMID,VN Mid Cap
2018-09-25,1052.52,1061.16,1049.32,1059.54,87080800,VNMID,VN Mid Cap
2018-09-26,1057.39,1070.98,1056.39,1065.96,90216990,VNMID,VN Mid Cap
2018-09-27,1066.78,1075.16,1066.78,1073.39,67863980,VNMID,VN Mid Cap
2018-09-28,1073.2,1077.39,1072.47,1073.46,70414100,VNMID,VN Mid Cap
2018-10-01,1073.4,1079.65,1067.99,1071.02,86363020,VNMID,VN Mid Cap
2018-10-02,1069.54,1074.99,1063.52,1065.78,79701920,VNMID,VN Mid Cap
2018-10-03,1065.87,1072.79,1065.87,1069.64,50985240,VNMID,VN Mid Cap
2018-10-04,1069.61,1078.76,1069.61,1078.76,51801800,VNMID,VN Mid Cap
2018-10-05,1078.66,1078.95,1066.09,1066.09,64305760,VNMID,VN Mid Cap
2018-10-08,1066.47,1067.67,1057.94,1061.92,60460820,VNMID,VN Mid Cap
2018-10-09,1061.75,1064.8,1058.11,1059.08,66782050,VNMID,VN Mid Cap
2018-10-10,1058.48,1060.48,1049.32,1052.02,60586060,VNMID,VN Mid Cap
2018-10-11,1041.98,1041.98,992.52,993.18,127602260,VNMID,VN Mid Cap
