time,open,high,low,close,volume,symbol,name
2018-08-06,1330.21,1336.26,1318.63,1330.53,41274150,VNREAL,Bất động sản
2018-08-07,1330.53,1330.53,1318.52,1320.87,31492030,VNREAL,Bất động sản
2018-08-08,1317.46,1327.04,1312.45,1315.75,35402070,VNREAL,Bất động sản
2018-08-09,1316.53,1316.53,1281.82,1281.82,32982770,VNREAL,Bất động sản
2018-08-10,1263.02,1283.78,1256.44,1280.84,29194280,VNREAL,Bất động sản
2018-08-13,1275.97,1275.97,1260.1,1273.29,33016140,VNREAL,Bất động sản
2018-08-14,1273.29,1287.33,1267.94,1279.21,29531760,VNREAL,Bất động sản
2018-08-15,1273.29,1285.53,1263.18,1264.88,32206300,VNREAL,Bất động sản
2018-08-16,1273.29,1270.32,1256.96,1266.75,27406790,VNREAL,Bất động sản
2018-08-17,1273.29,1277.87,1266.55,1267.44,22110810,VNREAL,Bất động sản
2018-08-20,1273.29,1272.74,1263.82,1268.85,38879780,VNREAL,Bất động sản
2018-08-21,1273.29,1276.12,1266.48,1276.12,48781180,VNREAL,Bất động sản
2018-08-22,1273.29,1289.42,1275.81,1282.11,47452760,VNREAL,Bất động sản
2018-08-23,1273.29,1300.33,1283.89,1290.54,37418410,VNREAL,Bất động sản
2018-08-24,1273.29,1297.5,1287.8,1290.73,35123270,VNREAL,Bất động sản
2018-08-27,1273.29,1297.36,1288.6,1290.9,38818130,VNREAL,Bất động sản
2018-08-28,1273.29,1292.2,1283.03,1288.8,33182750,VNREAL,Bất động sản
2018-08-29,1273.29,1287.82,1278.5,1279.24,36421920,VNREAL,Bất động sản
2018-08-30,1278.0,1284.96,1273.77,1284.96,33880080,VNREAL,Bất động sản
2018-08-31,1278.0,1284.6,1272.52,1280.77,33618210,VNREAL,Bất động sản
2018-09-04,1278.0,1284.6,1257.93,1260.32,44901640,VNREAL,Bất động sản
2018-09-05,1278.0,1261.75,1244.49,1244.77,37647710,VNREAL,Bất động sản
2018-09-06,1278.0,1247.85,1223.96,1223.96,29732790,VNREAL,Bất động sản
2018-09-07,1278.0,1232.89,1213.98,1228.85,34211330,VNREAL,Bất động sản
2018-09-10,1278.0,1245.42,1224.92,1245.42,30982990,VNREAL,Bất động sản
2018-09-11,1278.0,1266.35,1239.26,1265.37,31767400,VNREAL,Bất động sản
2018-09-12,1278.0,1279.15,1265.22,1265.22,33402150,VNREAL,Bất động sản
2018-09-13,1278.0,1271.08,1257.95,1259.63,29267960,VNREAL,Bất động sản
2018-09-14,1278.0,1270.88,1256.86,1263.52,26734480,VNREAL,Bất động sản
2018-09-17,1278.0,1263.62,1245.25,1245.71,29264210,VNREAL,Bất động sản
2018-09-18,1278.0,1250.88,1236.81,1250.88,30188070,VNREAL,Bất động sản
2018-09-19,1278.0,1258.24,1244.73,1244.73,41637290,VNREAL,Bất động sản
2018-09-20,1278.0,1253.04,1242.58,1246.94,32325470,VNREAL,Bất động sản
2018-09-21,1278.0,1256.48,1241.78,1241.78,55073760,VNREAL,Bất động sản
2018-09-24,1278.0,1266.31,1252.15,1266.31,35329130,VNREAL,Bất động sản
2018-09-25,1278.0,1273.91,1262.23,1272.07,57348500,VNREAL,Bất động sản
2018-09-26,1278.0,1278.58,1263.59,1274.05,57546300,VNREAL,Bất động sản
2018-09-27,1278.0,1285.53,1275.24,1280.41,41883180,VNREAL,Bất động sản
2018-09-28,1278.0,1283.04,1276.2,1282.38,43506510,VNREAL,Bất động sản
2018-10-01,1278.0,1304.55,1271.32,1271.32,52901890,VNREAL,Bất động sản
2018-10-02,1278.0,1292.78,1274.93,1287.91,47049370,VNREAL,Bất động sản
2018-10-03,1278.0,1303.36,1289.32,1294.81,32795410,VNREAL,Bất động sản
2018-10-04,1278.0,1296.27,1285.81,1290.69,30617560,VNREAL,Bất động sản
2018-10-05,1278.0,1288.23,1267.27,1270.85,39567280,VNREAL,Bất động sản
2018-10-08,1278.0,1265.68,1248.37,1248.37,32115230,VNREAL,Bất động sản
2018-10-09,1278.0,1254.83,1247.26,1249.82,45503440,VNREAL,Bất động sản
2018-10-10,1278.0,1259.62,1244.04,1250.79,36105340,VNREAL,Bất động sản
2018-10-11,1278.0,1238.85,1174.0,1195.99,78427870,VNREAL,Bất động sản
2018-10-12,1278.0,1238.02,1187.55,1231.97,39493790,VNREAL,Bất động sản
2018-10-15,1278.0,1232.5,1215.09,1225.42,27794610,VNREAL,Bất động sản
2018-10-16,1224.82,1256.09,1216.69,1256.09,25598920,VNREAL,Bất động sản
2018-10-17,1262.31,1266.94,1257.22,1263.98,26048210,VNREAL,Bất động sản
2018-10-18,1263.46,1263.46,1251.96,1255.95,20749230,VNREAL,Bất động sản
2018-10-19,1255.96,1255.96,1231.31,1251.02,25521270,VNREAL,Bất động sản
2018-10-22,1251.02,1260.43,1243.33,1251.37,27119100,VNREAL,Bất động sản
2018-10-23,1250.05,1250.05,1215.08,1241.29,37583740,VNREAL,Bất động sản
2018-10-24,1232.64,1245.22,1230.1,1237.07,24184310,VNREAL,Bất động sản
2018-10-25,1207.38,1230.74,1189.96,1220.15,30034660,VNREAL,Bất động sản
2018-10-26,1222.19,1226.68,1208.35,1210.17,26436800,VNREAL,Bất động sản
2018-10-29,1203.86,1215.73,1193.86,1208.72,23455910,VNREAL,Bất động sản
2018-10-30,1196.66,1210.11,1192.05,1195.8,22256590,VNREAL,Bất động sản
2018-10-31,1198.51,1220.1,1198.51,1220.1,32297080,VNREAL,Bất động sản
2018-11-01,1198.51,1220.74,1198.51,1204.96,24680180,VNREAL,Bất động sản
2018-11-02,1198.51,1221.0,1198.51,1215.18,31606110,VNREAL,Bất động sản
2018-11-05,1212.56,1221.49,1210.82,1220.42,25909140,VNREAL,Bất động sản
2018-11-06,1222.46,1226.92,1213.67,1216.49,23697570,VNREAL,Bất động sản
2018-11-07,1215.98,1219.78,1203.36,1216.03,23943070,VNREAL,Bất động sản
2018-11-08,1218.66,1226.55,1218.66,1221.38,41436690,VNREAL,Bất động sản
2018-11-09,1221.38,1221.9,1214.05,1219.84,34459040,VNREAL,Bất động sản
2018-11-12,1215.48,1220.6,1209.27,1220.28,22683040,VNREAL,Bất động sản
2018-11-13,1205.27,1209.07,1201.57,1203.66,17935160,VNREAL,Bất động sản
2018-11-14,1199.67,1213.48,1199.67,1206.49,21682190,VNREAL,Bất động sản
2018-11-15,1206.12,1206.78,1182.0,1190.19,31045410,VNREAL,Bất động sản
2018-11-16,1191.48,1197.36,1171.07,1173.57,37696280,VNREAL,Bất động sản
2018-11-19,1173.57,1216.77,1173.57,1216.77,29511940,VNREAL,Bất động sản
2018-11-20,1210.29,1224.59,1204.01,1224.59,23819650,VNREAL,Bất động sản
2018-11-21,1224.59,1227.59,1205.36,1227.28,24600050,VNREAL,Bất động sản
2018-11-22,1229.5,1232.08,1222.66,1230.1,23540340,VNREAL,Bất động sản
2018-11-23,1232.36,1235.11,1220.76,1231.84,22266880,VNREAL,Bất động sản
2018-11-26,1231.89,1241.8,1222.97,1241.8,18935640,VNREAL,Bất động sản
2018-11-27,1243.4,1263.12,1242.54,1242.54,23923160,VNREAL,Bất động sản
2018-11-28,1243.93,1252.42,1238.65,1252.42,19238610,VNREAL,Bất động sản
2018-11-29,1253.24,1263.95,1252.96,1253.94,21579440,VNREAL,Bất động sản
2018-11-30,1247.46,1254.14,1223.44,1247.31,20291390,VNREAL,Bất động sản
2018-12-03,1250.51,1263.63,1250.51,1260.35,29121250,VNREAL,Bất động sản
2018-12-04,1260.31,1271.29,1260.18,1269.64,28279010,VNREAL,Bất động sản
2018-12-05,1269.6,1272.33,1257.55,1271.88,30859050,VNREAL,Bất động sản
2018-12-06,1269.98,1276.43,1262.33,1272.65,23202560,VNREAL,Bất động sản
2018-12-07,1272.71,1279.15,1268.8,1277.4,34101780,VNREAL,Bất động sản
2018-12-10,1276.38,1276.38,1263.36,1266.05,22827790,VNREAL,Bất động sản
2018-12-11,1265.34,1269.44,1259.59,1269.44,23612970,VNREAL,Bất động sản
2018-12-12,1269.47,1275.63,1268.33,1275.63,32191760,VNREAL,Bất động sản
2018-12-13,1275.61,1289.8,1273.09,1278.14,30870800,VNREAL,Bất động sản
2018-12-14,1274.18,1279.26,1266.33,1271.66,20930840,VNREAL,Bất động sản
2018-12-17,1264.14,1269.32,1260.57,1263.98,31792140,VNREAL,Bất động sản
2018-12-18,1251.54,1252.37,1235.16,1251.62,29594290,VNREAL,Bất động sản
2018-12-19,1251.38,1252.35,1240.54,1244.69,19597520,VNREAL,Bất động sản
2018-12-20,1235.95,1247.28,1232.33,1244.73,20185880,VNREAL,Bất động sản
2018-12-21,1244.73,1244.73,1230.72,1237.26,23161080,VNREAL,Bất động sản
2018-12-24,1244.73,1244.73,1230.72,1238.1,19565820,VNREAL,Bất động sản
2018-12-25,1244.73,1244.73,1210.81,1233.47,32082850,VNREAL,Bất động sản
2018-12-26,1244.73,1244.73,1210.81,1225.55,21489760,VNREAL,Bất động sản
2018-12-27,1244.73,1244.73,1210.81,1233.08,25604860,VNREAL,Bất động sản
2018-12-28,1244.73,1239.73,1178.5,1178.5,27999480,VNREAL,Bất động sản
2019-01-02,1244.73,1239.73,1178.5,1211.38,17567980,VNREAL,Bất động sản
2019-01-03,1207.53,1209.13,1181.72,1195.93,28437150,VNREAL,Bất động sản
2019-01-04,1188.78,1200.76,1170.55,1198.73,29126020,VNREAL,Bất động sản
2019-01-07,1212.82,1219.89,1194.92,1203.58,19049370,VNREAL,Bất động sản
2019-01-08,1203.58,1209.87,1184.42,1193.45,22444580,VNREAL,Bất động sản
2019-01-09,1194.43,1210.65,1182.68,1210.65,32409310,VNREAL,Bất động sản
2019-01-10,1210.63,1214.64,1201.4,1214.64,22237230,VNREAL,Bất động sản
2019-01-11,1210.97,1217.25,1206.82,1217.25,21801600,VNREAL,Bất động sản
2019-01-14,1214.72,1217.68,1205.15,1215.9,25464460,VNREAL,Bất động sản
2019-01-15,1214.61,1222.71,1207.58,1222.71,24181650,VNREAL,Bất động sản
2019-01-16,1222.53,1228.05,1216.43,1228.05,28249450,VNREAL,Bất động sản
2019-01-17,1227.7,1228.14,1213.54,1216.76,43507830,VNREAL,Bất động sản
2019-01-18,1210.87,1220.74,1205.49,1211.34,25687280,VNREAL,Bất động sản
2019-01-21,1212.12,1215.58,1206.66,1214.29,23042810,VNREAL,Bất động sản
2019-01-22,1214.29,1216.65,1205.83,1210.91,26651860,VNREAL,Bất động sản
2019-01-23,1211.22,1221.16,1204.45,1215.12,19009330,VNREAL,Bất động sản
2019-01-24,1212.03,1219.89,1210.76,1216.43,17291570,VNREAL,Bất động sản
2019-01-25,1216.62,1221.63,1210.42,1216.57,17385060,VNREAL,Bất động sản
2019-01-28,1216.18,1223.48,1215.77,1223.3,19067280,VNREAL,Bất động sản
2019-01-29,1226.46,1226.48,1216.81,1225.72,15787800,VNREAL,Bất động sản
2019-01-30,1225.22,1226.31,1217.18,1224.14,17610280,VNREAL,Bất động sản
2019-01-31,1229.7,1230.59,1212.24,1222.78,16288310,VNREAL,Bất động sản
2019-02-01,1222.95,1223.11,1191.71,1191.71,19269560,VNREAL,Bất động sản
2019-02-11,1212.54,1220.6,1206.14,1220.6,22065630,VNREAL,Bất động sản
2019-02-12,1224.2,1246.82,1220.71,1246.82,33915840,VNREAL,Bất động sản
2019-02-13,1240.69,1249.96,1240.69,1249.96,35319160,VNREAL,Bất động sản
2019-02-14,1252.37,1281.4,1251.62,1281.13,35317560,VNREAL,Bất động sản
2019-02-15,1279.84,1279.84,1271.65,1271.65,25611660,VNREAL,Bất động sản
2019-02-18,1275.85,1288.73,1271.97,1288.73,32747370,VNREAL,Bất động sản
2019-02-19,1290.4,1326.33,1290.4,1315.65,36578840,VNREAL,Bất động sản
2019-02-20,1316.13,1336.07,1316.13,1333.31,26206300,VNREAL,Bất động sản
2019-02-21,1333.76,1376.86,1328.17,1376.86,35540030,VNREAL,Bất động sản
2019-02-22,1366.27,1384.83,1360.23,1361.19,30785760,VNREAL,Bất động sản
2019-02-25,1369.65,1377.63,1345.08,1350.94,31005570,VNREAL,Bất động sản
2019-02-26,1349.24,1359.08,1332.18,1349.83,38565460,VNREAL,Bất động sản
2019-02-27,1349.84,1370.01,1349.84,1362.58,48620760,VNREAL,Bất động sản
2019-02-28,1363.23,1363.23,1312.67,1312.67,40079470,VNREAL,Bất động sản
2019-03-01,1312.75,1348.18,1312.75,1341.71,25305730,VNREAL,Bất động sản
2019-03-04,1353.86,1369.78,1344.89,1367.93,42989180,VNREAL,Bất động sản
2019-03-05,1367.93,1369.63,1354.75,1356.3,55990920,VNREAL,Bất động sản
2019-03-06,1356.38,1362.3,1351.57,1361.89,45436900,VNREAL,Bất động sản
2019-03-07,1363.12,1402.67,1363.12,1370.22,45951290,VNREAL,Bất động sản
2019-03-08,1368.63,1375.21,1359.52,1359.52,40164540,VNREAL,Bất động sản
2019-03-11,1352.73,1371.53,1352.73,1365.18,32847330,VNREAL,Bất động sản
2019-03-12,1374.37,1389.28,1374.37,1386.81,37761810,VNREAL,Bất động sản
2019-03-13,1388.13,1408.14,1387.68,1391.59,39109720,VNREAL,Bất động sản
2019-03-14,1391.52,1405.2,1386.19,1401.11,34019310,VNREAL,Bất động sản
2019-03-15,1402.8,1402.8,1386.74,1391.6,40247960,VNREAL,Bất động sản
2019-03-18,1392.58,1409.63,1392.58,1409.1,31804000,VNREAL,Bất động sản
2019-03-19,1409.09,1416.1,1398.18,1402.47,41357590,VNREAL,Bất động sản
2019-03-20,1397.15,1397.15,1373.61,1383.57,32733840,VNREAL,Bất động sản
2019-03-21,1386.24,1389.58,1339.18,1339.18,38101040,VNREAL,Bất động sản
2019-03-22,1347.12,1363.74,1344.34,1361.03,31404190,VNREAL,Bất động sản
2019-03-25,1339.37,1339.37,1312.8,1322.72,37317440,VNREAL,Bất động sản
2019-03-26,1322.71,1338.93,1311.33,1318.75,23718710,VNREAL,Bất động sản
2019-03-27,1325.91,1338.6,1324.26,1327.7,20193790,VNREAL,Bất động sản
2019-03-28,1327.0,1351.93,1325.12,1348.96,19023190,VNREAL,Bất động sản
2019-03-29,1350.06,1361.73,1346.53,1346.53,26999250,VNREAL,Bất động sản
2019-04-01,1346.54,1362.24,1346.54,1360.63,28946410,VNREAL,Bất động sản
2019-04-02,1369.56,1374.19,1357.79,1358.26,28517960,VNREAL,Bất động sản
2019-04-03,1358.28,1358.28,1343.26,1349.0,23283980,VNREAL,Bất động sản
2019-04-04,1355.25,1358.01,1343.54,1351.04,27825750,VNREAL,Bất động sản
2019-04-05,1355.73,1362.57,1352.78,1358.88,26693800,VNREAL,Bất động sản
2019-04-08,1359.33,1368.89,1357.75,1368.89,23684930,VNREAL,Bất động sản
2019-04-09,1368.89,1374.98,1343.21,1344.85,29180060,VNREAL,Bất động sản
2019-04-10,1342.81,1346.82,1325.28,1334.18,23568840,VNREAL,Bất động sản
2019-04-11,1337.27,1352.13,1332.89,1352.13,28322520,VNREAL,Bất động sản
2019-04-12,1352.13,1352.13,1340.1,1344.62,22821190,VNREAL,Bất động sản
2019-04-16,1314.92,1330.96,1291.82,1328.95,27709910,VNREAL,Bất động sản
2019-04-17,1320.9,1333.12,1306.56,1306.56,27001570,VNREAL,Bất động sản
2019-04-18,1304.13,1309.46,1276.68,1298.18,27130580,VNREAL,Bất động sản
2019-04-19,1298.36,1312.46,1295.04,1305.83,17373960,VNREAL,Bất động sản
2019-04-22,1309.0,1315.82,1290.93,1315.82,23910760,VNREAL,Bất động sản
