time,open,high,low,close,volume,symbol,name
2018-08-06,803.09,805.73,800.9,801.63,23858580,VNSML,VN Small Cap
2018-08-07,801.63,802.55,797.35,798.52,24732920,VNSML,VN Small Cap
2018-08-08,798.55,803.88,798.55,801.25,19301030,VNSML,VN Small Cap
2018-08-09,801.21,803.15,797.47,801.66,21163380,VNSML,VN Small Cap
2018-08-10,796.44,802.16,795.57,802.16,21885880,VNSML,VN Small Cap
2018-08-13,802.56,803.51,798.25,803.51,21434230,VNSML,VN Small Cap
2018-08-14,803.3,805.71,802.41,805.35,21978840,VNSML,VN Small Cap
2018-08-15,805.35,807.73,797.67,800.54,21813890,VNSML,VN Small Cap
2018-08-16,800.39,801.9,796.54,801.9,18012860,VNSML,VN Small Cap
2018-08-17,802.42,806.15,800.87,802.28,21554450,VNSML,VN Small Cap
2018-08-20,802.39,803.45,798.73,800.67,18607010,VNSML,VN Small Cap
2018-08-21,800.95,804.99,800.92,804.99,21194900,VNSML,VN Small Cap
2018-08-22,804.56,809.98,804.56,808.68,18540570,VNSML,VN Small Cap
2018-08-23,808.79,812.99,807.98,812.57,18023450,VNSML,VN Small Cap
2018-08-24,812.65,815.04,811.54,815.04,22352150,VNSML,VN Small Cap
2018-08-27,815.28,818.84,815.28,818.84,22656280,VNSML,VN Small Cap
2018-08-28,818.94,821.82,813.52,814.85,22616960,VNSML,VN Small Cap
2018-08-29,813.98,814.0,808.06,812.18,19792670,VNSML,VN Small Cap
2018-08-30,810.12,814.5,808.32,814.5,21979330,VNSML,VN Small Cap
2018-08-31,814.84,817.47,813.03,814.92,20921140,VNSML,VN Small Cap
2018-09-04,814.97,817.47,809.79,812.37,24237850,VNSML,VN Small Cap
2018-09-05,812.44,813.13,806.04,808.86,22249830,VNSML,VN Small Cap
2018-09-06,806.23,807.9,803.32,805.1,19614530,VNSML,VN Small Cap
2018-09-07,805.54,807.99,803.05,807.99,24261000,VNSML,VN Small Cap
2018-09-10,807.96,808.64,806.02,807.87,24429810,VNSML,VN Small Cap
2018-09-11,807.93,814.48,806.13,814.48,27024070,VNSML,VN Small Cap
2018-09-12,814.48,818.81,814.48,817.29,28756980,VNSML,VN Small Cap
2018-09-13,817.34,821.17,817.09,820.68,28800970,VNSML,VN Small Cap
2018-09-14,819.53,823.98,819.53,823.98,25331940,VNSML,VN Small Cap
