time,VNINDEX,VN30,VN100,VNALL,HNXINDEX,UPCOMINDEX,VNMID,VNSML,VNFIN,VNREAL,VNIT,VNHEAL,VNENE,VNIND,VNMAT,VNCONS,VNCOND
2004-01-05,169.16,,,,,,,,,,,,,,,,
2004-01-06,170.26,,,,,,,,,,,,,,,,
2004-01-07,171.17,,,,,,,,,,,,,,,,
2004-01-08,171.6,,,,,,,,,,,,,,,,
2004-01-09,173.27,,,,,,,,,,,,,,,,
2004-01-12,174.13,,,,,,,,,,,,,,,,
2004-01-13,175.17,,,,,,,,,,,,,,,,
2004-01-14,176.35,,,,,,,,,,,,,,,,
2004-01-15,177.59,,,,,,,,,,,,,,,,
2004-01-16,183.18,,,,,,,,,,,,,,,,
2004-01-27,191.87,,,,,,,,,,,,,,,,
2004-01-28,200.8,,,,,,,,,,,,,,,,
2004-01-29,210.46,,,,,,,,,,,,,,,,
2004-01-30,214.32,,,,,,,,,,,,,,,,
2004-02-02,207.14,,,,,,,,,,,,,,,,
2004-02-03,199.56,,,,,,,,,,,,,,,,
2004-02-04,208.26,,,,,,,,,,,,,,,,
2004-02-05,215.33,,,,,,,,,,,,,,,,
2004-02-06,213.42,,,,,,,,,,,,,,,,
2004-02-09,212.55,,,,,,,,,,,,,,,,
2004-02-10,213.0,,,,,,,,,,,,,,,,
2004-02-11,212.81,,,,,,,,,,,,,,,,
2004-02-12,213.76,,,,,,,,,,,,,,,,
2004-02-13,217.1,,,,,,,,,,,,,,,,
2004-02-16,218.22,,,,,,,,,,,,,,,,
2004-02-17,219.06,,,,,,,,,,,,,,,,
2004-02-18,221.99,,,,,,,,,,,,,,,,
2004-02-19,227.67,,,,,,,,,,,,,,,,
2004-02-20,235.3,,,,,,,,,,,,,,,,
2004-02-23,246.35,,,,,,,,,,,,,,,,
2004-02-24,255.0,,,,,,,,,,,,,,,,
2004-02-25,255.11,,,,,,,,,,,,,,,,
2004-02-26,250.64,,,,,,,,,,,,,,,,
2004-02-27,260.6,,,,,,,,,,,,,,,,
2004-03-01,271.45,,,,,,,,,,,,,,,,
2004-03-02,273.43,,,,,,,,,,,,,,,,
2004-03-03,269.86,,,,,,,,,,,,,,,,
2004-03-04,265.03,,,,,,,,,,,,,,,,
2004-03-05,267.53,,,,,,,,,,,,,,,,
2004-03-08,264.81,,,,,,,,,,,,,,,,
2004-03-09,256.32,,,,,,,,,,,,,,,,
2004-03-10,255.47,,,,,,,,,,,,,,,,
2004-03-11,261.22,,,,,,,,,,,,,,,,
2004-03-12,262.88,,,,,,,,,,,,,,,,
2004-03-15,264.51,,,,,,,,,,,,,,,,
2004-03-16,263.1,,,,,,,,,,,,,,,,
2004-03-17,260.71,,,,,,,,,,,,,,,,
2004-03-18,261.54,,,,,,,,,,,,,,,,
2004-03-19,261.91,,,,,,,,,,,,,,,,
2004-03-22,261.47,,,,,,,,,,,,,,,,
2004-03-23,257.41,,,,,,,,,,,,,,,,
2004-03-24,257.33,,,,,,,,,,,,,,,,
2004-03-25,264.91,,,,,,,,,,,,,,,,
2004-03-26,272.3,,,,,,,,,,,,,,,,
2004-03-29,275.66,,,,,,,,,,,,,,,,
2004-03-30,273.28,,,,,,,,,,,,,,,,
2004-03-31,277.44,,,,,,,,,,,,,,,,
2004-04-01,279.71,,,,,,,,,,,,,,,,
2004-04-02,272.89,,,,,,,,,,,,,,,,
2004-04-05,270.69,,,,,,,,,,,,,,,,
2004-04-06,271.3,,,,,,,,,,,,,,,,
2004-04-07,269.47,,,,,,,,,,,,,,,,
2004-04-08,262.47,,,,,,,,,,,,,,,,
2004-04-09,259.65,,,,,,,,,,,,,,,,
2004-04-12,254.41,,,,,,,,,,,,,,,,
2004-04-13,250.52,,,,,,,,,,,,,,,,
2004-04-14,251.24,,,,,,,,,,,,,,,,
